,poem_line,nazm_name,author_name
0,رگوں میں دوڑتا پھرتا لہو پھر تھم گیا ہے,برأت,عابد ادیب
1,ہوائیں تیز ہیں سانسوں کی ہلچل رک گئی ہے,برأت,عابد ادیب
2,ریڑھ کی ہڈی میں چیونٹی رینگتی ہے,برأت,عابد ادیب
3,جسم میں پورے حرارت بڑھ گئی ہے,برأت,عابد ادیب
4,ذائقہ کڑوا کسیلا ہو گیا ہے,برأت,عابد ادیب
5,کہ شاید,برأت,عابد ادیب
6,پھر کوئی اپنا پرایا ہو گیا ہے,برأت,عابد ادیب
7,یہاں تو نہ پیڑ ہے نہ سایہ,ریگستان کی دوپہر,عابد ادیب
8,نہ گھر ہے نہ گھر میں رہنے والے,ریگستان کی دوپہر,عابد ادیب
9,نہ زندگی ہے نہ کوئی ہلچل,ریگستان کی دوپہر,عابد ادیب
10,یہاں تو تا حد نظر,ریگستان کی دوپہر,عابد ادیب
11,دھوپ ہی دھوپ ہے,ریگستان کی دوپہر,عابد ادیب
12,ریت ہی ریت ہے,ریگستان کی دوپہر,عابد ادیب
13,دھوپ ہی دھوپ ہے,ریگستان کی دوپہر,عابد ادیب
14,تن کو جھلساتی دھوپ,ریگستان کی دوپہر,عابد ادیب
15,آگ برساتی دھوپ,ریگستان کی دوپہر,عابد ادیب
16,دھول اڑاتی دھوپ,ریگستان کی دوپہر,عابد ادیب
17,ریت اڑاتی ایک دم پرائی دھوپ,ریگستان کی دوپہر,عابد ادیب
18,وہ جد و جہد کرنا چاہتا تھا,ناکامی,عابد ادیب
19,مگر جب سے اس نے,ناکامی,عابد ادیب
20,اپنے جھونپڑے کو,ناکامی,عابد ادیب
21,پختہ مکان میں بدلنے کا خواب دیکھا تھا,ناکامی,عابد ادیب
22,وہ کئی دائمی بیماریوں میں مبتلا ہو چکا تھا,ناکامی,عابد ادیب
23,آگ کے شعلے اتارو حلق میں,ابن الوقت,عابد ادیب
24,گاڑ دو کیلیں دھڑکتی چھاتیوں میں,ابن الوقت,عابد ادیب
25,ڈال دو گردن میں پھندے رسیوں کے,ابن الوقت,عابد ادیب
26,قتل کر لو خون کی ندیاں بہا لو,ابن الوقت,عابد ادیب
27,ہو نہتا کوئی تو گولی چلا لو,ابن الوقت,عابد ادیب
28,پھر بھی ہو کوئی کسر تو پوری کر لو,ابن الوقت,عابد ادیب
29,جیت کا اعلان کر دو,ابن الوقت,عابد ادیب
30,پھر بھی تم ڈرتے رہو گے,ابن الوقت,عابد ادیب
31,اور ہر یگ میں تمہاری ہار ہی ہوتی رہے گی,ابن الوقت,عابد ادیب
32,پھر بھی تم چہرے بدل کر ہر زمانہ میں رہو گے,ابن الوقت,عابد ادیب
33,اور صدیوں تک,ابن الوقت,عابد ادیب
34,یہی اک سلسلہ چلتا رہے گا,ابن الوقت,عابد ادیب
35,کیا خدا تجھ کو بھول جاؤں میں,خدا,ابر احسنی گنوری
36,کس لیے تیرے گن گاؤں میں,خدا,ابر احسنی گنوری
37,مجھ کو انساں بنا دیا تو نے,خدا,ابر احسنی گنوری
38,سیدھا رستہ بتا دیا تو نے,خدا,ابر احسنی گنوری
39,پھر سمجھ دی کہ نیک کام کروں,خدا,ابر احسنی گنوری
